Input File,Species,BIC,Kernel,Mean
simulations43,Species 1,386.6281781317481,Exponential,Zero
simulations43,Species 2,664.4656277283464,Matern12,Zero
simulations43,Species 3,236.49240888545572,RationalQuadratic,Zero
simulations95,Species 1,134.09336534163813,Exponential,Zero
simulations95,Species 2,583.1552371577984,RationalQuadratic,Zero
simulations95,Species 3,103.39158221437683,RationalQuadratic,Zero
simulations9,Species 1,991.4596508861387,Matern32,Zero
simulations9,Species 2,608.873591626046,RationalQuadratic,Zero
simulations9,Species 3,314.45822269360974,RationalQuadratic,Zero
simulations25,Species 1,704.7807134107316,RationalQuadratic,Zero
simulations25,Species 2,1160.3038445437576,RationalQuadratic,Zero
simulations25,Species 3,421.6319198085379,RationalQuadratic,Zero
simulations46,Species 1,61.14784373725129,RationalQuadratic,Zero
simulations46,Species 2,291.1034183197594,RationalQuadratic,Zero
simulations46,Species 3,314.28203555431753,Exponential,Zero
simulations1,Species 1,341.89202147064714,RationalQuadratic,Zero
simulations1,Species 2,703.1719889818006,RationalQuadratic,Zero
simulations1,Species 3,412.29349285413343,Linear,Zero
simulations35,Species 1,520.6308866351147,Exponential,Zero
simulations35,Species 2,449.07474277225606,RationalQuadratic,Zero
simulations35,Species 3,650.1812669828491,Exponential,Zero
simulations71,Species 1,221.97688256155814,Matern12,Zero
simulations71,Species 2,244.8056038051993,Matern12,Zero
simulations71,Species 3,367.2815526838742,RationalQuadratic,Zero
simulations6,Species 1,92.80153514720368,RationalQuadratic,Zero
simulations6,Species 2,726.1981873011164,Linear,Zero
simulations6,Species 3,199.9378674710238,RationalQuadratic,Zero
simulations21,Species 1,233.73557960092464,RationalQuadratic,Zero
simulations21,Species 2,870.2372191195744,Matern12,Zero
simulations21,Species 3,485.90127631299833,RationalQuadratic,Zero
simulations37,Species 1,103.67239295209268,RationalQuadratic,Zero
simulations37,Species 2,249.02589244033257,Matern12,Zero
simulations37,Species 3,500.7726690351907,RationalQuadratic,Zero
simulations56,Species 1,1111.8591979919402,Polynomial,Zero
simulations56,Species 2,208.69584088618316,RationalQuadratic,Zero
simulations56,Species 3,238.10489921578326,RationalQuadratic,Zero
simulations72,Species 1,482.7640052550272,RationalQuadratic,Zero
simulations72,Species 2,714.3844941964478,RationalQuadratic,Zero
simulations72,Species 3,240.03388239458482,RationalQuadratic,Zero
simulations24,Species 1,383.9568778084506,Exponential,Zero
simulations24,Species 2,379.73623010546294,RationalQuadratic,Zero
simulations24,Species 3,348.716608178382,RationalQuadratic,Zero
simulations23,Species 1,164.9969741631849,Matern12,Zero
simulations23,Species 2,267.445174388733,RationalQuadratic,Zero
simulations23,Species 3,441.2802651090822,Linear,Zero
simulations22,Species 1,252.777984716673,RationalQuadratic,Zero
simulations22,Species 2,470.93741779865786,RationalQuadratic,Zero
simulations22,Species 3,400.1578994291873,Linear,Zero
simulations89,Species 1,280.0688332034309,RationalQuadratic,Zero
simulations89,Species 2,382.215897654674,Matern12,Zero
simulations89,Species 3,479.26516280918617,Exponential,Zero
simulations29,Species 1,244.002050654174,Linear,Zero
simulations29,Species 2,549.4712810786335,RationalQuadratic,Zero
simulations29,Species 3,298.8785696685618,Linear,Zero
simulations15,Species 1,399.9377477392527,Matern32,Zero
simulations15,Species 2,185.23304106259602,RationalQuadratic,Zero
simulations15,Species 3,433.3111700418184,RationalQuadratic,Zero
simulations49,Species 1,556.2465202026567,RationalQuadratic,Zero
simulations49,Species 2,401.5824734341009,Exponential,Zero
simulations49,Species 3,155.04584379100444,RationalQuadratic,Zero
simulations73,Species 1,196.5872137902367,RationalQuadratic,Zero
simulations73,Species 2,540.2307565146363,Exponential,Zero
simulations73,Species 3,218.42739036777297,RationalQuadratic,Zero
simulations80,Species 1,668.5784065573699,Exponential,Zero
simulations80,Species 2,507.0290438307618,Exponential,Zero
simulations80,Species 3,532.8156690786619,Exponential,Zero
