Input File,Species,BIC,Kernel,Mean
simulations43,Species 1,410.71690169005893,Matern32,Zero
simulations43,Species 2,767.303955249616,RationalQuadratic,Zero
simulations43,Species 3,242.56748320726845,RationalQuadratic,Zero
simulations95,Species 1,176.57919748447856,RationalQuadratic,Zero
simulations95,Species 2,670.518213973665,RationalQuadratic,Zero
simulations95,Species 3,122.3812681812684,RationalQuadratic,Zero
simulations9,Species 1,985.0668400114157,RationalQuadratic,Zero
simulations9,Species 2,614.2614261549187,RationalQuadratic,Zero
simulations9,Species 3,391.8771888976801,RationalQuadratic,Zero
simulations25,Species 1,855.3984259637037,RationalQuadratic,Zero
simulations25,Species 2,1045.8471186664608,RationalQuadratic,Zero
simulations25,Species 3,512.5482964595251,RationalQuadratic,Zero
simulations46,Species 1,80.44776001092019,RationalQuadratic,Zero
simulations46,Species 2,354.9470353723048,RationalQuadratic,Zero
simulations46,Species 3,336.7687824690674,RationalQuadratic,Zero
simulations1,Species 1,394.27554266978444,RationalQuadratic,Zero
simulations1,Species 2,656.0282015657318,RationalQuadratic,Zero
simulations1,Species 3,464.66361957028255,RationalQuadratic,Zero
simulations35,Species 1,584.2781443747677,RationalQuadratic,Zero
simulations35,Species 2,449.4141692381372,RationalQuadratic,Zero
simulations35,Species 3,645.5257382353036,Matern32,Zero
simulations71,Species 1,273.98606130776085,RationalQuadratic,Zero
simulations71,Species 2,315.6223393207551,RationalQuadratic,Zero
simulations71,Species 3,383.4143232285809,RationalQuadratic,Zero
simulations6,Species 1,122.0948559428541,RationalQuadratic,Zero
simulations6,Species 2,873.6932118027605,Matern32,Zero
simulations6,Species 3,237.80739394807856,RationalQuadratic,Zero
simulations21,Species 1,274.15828342881815,RationalQuadratic,Zero
simulations21,Species 2,675.079535426621,Matern32,Zero
simulations21,Species 3,496.89438825757753,RationalQuadratic,Zero
simulations37,Species 1,124.98658621178639,RationalQuadratic,Zero
simulations37,Species 2,316.2143097685289,RationalQuadratic,Zero
simulations37,Species 3,516.7746035006735,RationalQuadratic,Zero
simulations56,Species 1,1086.0042501693526,RationalQuadratic,Zero
simulations56,Species 2,265.9525642767882,RationalQuadratic,Zero
simulations56,Species 3,303.5701837920698,RationalQuadratic,Zero
simulations72,Species 1,566.9125922070588,RationalQuadratic,Zero
simulations72,Species 2,799.6609457174557,RationalQuadratic,Zero
simulations72,Species 3,264.05825500154833,RationalQuadratic,Zero
simulations24,Species 1,421.1216261850593,RationalQuadratic,Zero
simulations24,Species 2,450.2757917933808,RationalQuadratic,Zero
simulations24,Species 3,404.69397277955346,RationalQuadratic,Zero
simulations23,Species 1,242.05314602887321,RationalQuadratic,Zero
simulations23,Species 2,323.28387045261763,RationalQuadratic,Zero
simulations23,Species 3,632.7326537211433,RationalQuadratic,Zero
simulations22,Species 1,317.2864664643264,RationalQuadratic,Zero
simulations22,Species 2,528.312192512334,RationalQuadratic,Zero
simulations22,Species 3,627.82323098915,RationalQuadratic,Zero
simulations89,Species 1,340.13166820514766,RationalQuadratic,Zero
simulations89,Species 2,489.0485296416473,RationalQuadratic,Zero
simulations89,Species 3,563.9806854685688,RationalQuadratic,Zero
simulations29,Species 1,328.86602183161637,RationalQuadratic,Zero
simulations29,Species 2,765.7859568791705,RationalQuadratic,Zero
simulations29,Species 3,337.56125529798265,RationalQuadratic,Zero
simulations15,Species 1,437.1028458498686,RationalQuadratic,Zero
simulations15,Species 2,237.50558106800312,RationalQuadratic,Zero
simulations15,Species 3,522.1579698575667,RationalQuadratic,Zero
simulations49,Species 1,639.4917831037936,RationalQuadratic,Zero
simulations49,Species 2,463.2657778123975,RationalQuadratic,Zero
simulations49,Species 3,207.8504849599794,RationalQuadratic,Zero
simulations73,Species 1,238.58378294651797,RationalQuadratic,Zero
simulations73,Species 2,558.7180793461997,RationalQuadratic,Zero
simulations73,Species 3,255.5191538650474,RationalQuadratic,Zero
simulations80,Species 1,573.9225072708114,RationalQuadratic,Zero
simulations80,Species 2,560.8523068498117,RationalQuadratic,Zero
simulations80,Species 3,270.7423894019821,RationalQuadratic,Zero
simulations84,Species 1,357.46450422514334,RationalQuadratic,Zero
simulations84,Species 2,1087.402087732405,RationalQuadratic,Zero
simulations84,Species 3,296.0351824288076,RationalQuadratic,Zero
simulations62,Species 1,125.96351943515025,RationalQuadratic,Zero
simulations62,Species 2,798.317440589864,RationalQuadratic,Zero
simulations62,Species 3,188.1208480304513,RationalQuadratic,Zero
simulations74,Species 1,212.80191292272642,RationalQuadratic,Zero
simulations74,Species 2,201.8745014586822,RationalQuadratic,Zero
simulations74,Species 3,438.51641919752643,RationalQuadratic,Zero
simulations20,Species 1,301.0117193160549,RationalQuadratic,Zero
simulations20,Species 2,235.44173331342088,RationalQuadratic,Zero
simulations20,Species 3,708.1075128328914,RationalQuadratic,Zero
simulations57,Species 1,668.7831045073691,Matern32,Zero
simulations57,Species 2,835.0662002474263,Matern32,Zero
simulations57,Species 3,541.0489952430116,RationalQuadratic,Zero
simulations79,Species 1,374.0706837815903,RationalQuadratic,Zero
simulations79,Species 2,412.1310915269058,RationalQuadratic,Zero
simulations79,Species 3,202.80689756708384,RationalQuadratic,Zero
simulations7,Species 1,213.66313107975853,RationalQuadratic,Zero
simulations7,Species 2,413.8102886725758,RationalQuadratic,Zero
simulations7,Species 3,1075.4024930271335,RationalQuadratic,Zero
simulations78,Species 1,488.53319883886047,RationalQuadratic,Zero
simulations78,Species 2,411.9134767282905,RationalQuadratic,Zero
simulations78,Species 3,164.08503039205712,RationalQuadratic,Zero
simulations65,Species 1,190.93938921066407,RationalQuadratic,Zero
simulations65,Species 2,200.454390275223,RationalQuadratic,Zero
simulations65,Species 3,837.6945605712451,RationalQuadratic,Zero
simulations54,Species 1,366.14507818155397,RationalQuadratic,Zero
simulations54,Species 2,1068.2358231025357,RationalQuadratic,Zero
simulations54,Species 3,1018.8720527588526,RationalQuadratic,Zero
simulations76,Species 1,320.12422160913275,RationalQuadratic,Zero
simulations76,Species 2,368.273416630614,RationalQuadratic,Zero
simulations76,Species 3,649.0463452849924,RationalQuadratic,Zero
simulations99,Species 1,244.81438669434934,RationalQuadratic,Zero
simulations99,Species 2,235.9948935351192,RationalQuadratic,Zero
simulations99,Species 3,411.4121799899559,RationalQuadratic,Zero
simulations87,Species 1,498.7308794119649,RationalQuadratic,Zero
simulations87,Species 2,48.46179737579642,RationalQuadratic,Zero
simulations87,Species 3,34.330001157442084,RationalQuadratic,Zero
simulations10,Species 1,400.1077835444434,RationalQuadratic,Zero
simulations10,Species 2,836.0868067037909,RationalQuadratic,Zero
simulations10,Species 3,219.1067426360693,RationalQuadratic,Zero
simulations2,Species 1,266.407317332903,RationalQuadratic,Zero
simulations2,Species 2,638.092794637019,Matern32,Zero
simulations2,Species 3,415.1235582104825,RationalQuadratic,Zero
simulations39,Species 1,334.8405432013572,RationalQuadratic,Zero
simulations39,Species 2,992.949288039221,RationalQuadratic,Zero
simulations39,Species 3,862.0180135941855,RationalQuadratic,Zero
simulations42,Species 1,409.573841333112,RationalQuadratic,Zero
simulations42,Species 2,614.6013423134422,RationalQuadratic,Zero
simulations42,Species 3,555.923451224928,RationalQuadratic,Zero
simulations97,Species 1,388.89483961945604,RationalQuadratic,Zero
simulations97,Species 2,558.9694323067969,RationalQuadratic,Zero
simulations97,Species 3,211.74084539083773,RationalQuadratic,Zero
simulations69,Species 1,570.4135937762848,RationalQuadratic,Zero
simulations69,Species 2,458.12296468192807,RationalQuadratic,Zero
simulations69,Species 3,143.38655003871494,RationalQuadratic,Zero
