Input File,Species,BIC,Kernel,Mean
simulations0,Species 1,557.1907071610063,Exponential,Zero
simulations0,Species 2,264.06883897856676,RationalQuadratic,Zero
simulations0,Species 3,334.1855551168245,RationalQuadratic,Zero
simulations1,Species 1,93.5959292216896,RationalQuadratic,Zero
simulations1,Species 2,745.5328477063134,Matern32,Zero
simulations1,Species 3,488.2689115310807,RationalQuadratic,Zero
simulations2,Species 1,676.7822777454044,Matern12,Zero
simulations2,Species 2,886.5456747214242,Matern12,Zero
simulations2,Species 3,273.8085613254181,Linear,Zero
simulations3,Species 1,689.568796941212,Linear,Zero
simulations3,Species 2,869.9924844551747,RationalQuadratic,Zero
simulations3,Species 3,319.03653601648523,Linear,Zero
simulations4,Species 1,797.071559666719,RationalQuadratic,Zero
simulations4,Species 2,660.3456806045205,Linear,Zero
simulations4,Species 3,417.2914956310771,Linear,Zero
simulations5,Species 1,214.76474521131684,Linear,Zero
simulations5,Species 2,324.04816841042145,Linear,Zero
simulations5,Species 3,133.4765254099748,RationalQuadratic,Zero
simulations6,Species 1,598.0019638028995,RationalQuadratic,Zero
simulations6,Species 2,367.2179216254267,Linear,Zero
simulations6,Species 3,237.2673356308843,Linear,Zero
simulations7,Species 1,297.9724641402647,Polynomial,Zero
simulations7,Species 2,655.9738481234535,Matern12,Zero
simulations7,Species 3,678.0755300108121,Matern32,Zero
simulations8,Species 1,470.75570045077916,RationalQuadratic,Zero
simulations8,Species 2,674.9676780889356,Matern12,Zero
simulations8,Species 3,408.3972801447245,Matern12,Zero
simulations9,Species 1,1063.2518699449074,RationalQuadratic,Zero
simulations9,Species 2,471.69593246845534,Linear,Zero
simulations9,Species 3,461.3018886313527,Linear,Zero
