This is the evolution of the populations of three species over time.t,y1,y2,y3
0.000000000000000000e+00,1.000676914914481230e+01,1.000920908350921046e+01,9.979409632523884355e+00
8.333333333333333703e-01,6.207267269498768059e+00,1.681390807299249701e+01,1.413237182441561579e+01
1.666666666666666741e+00,4.693841672568114021e+00,2.035745130777348777e+01,1.418776902479481983e+01
2.500000000000000000e+00,3.874062760378483627e+00,2.068296228729693098e+01,1.350569138504543254e+01
3.333333333333333481e+00,3.412017990605093143e+00,2.019392345010854228e+01,1.288420403582220786e+01
4.166666666666666963e+00,3.061538893015041563e+00,1.969883794225655294e+01,1.243200929111628916e+01
5.000000000000000000e+00,2.849062888219648482e+00,1.933710266327658545e+01,1.210634762408284004e+01
5.833333333333333925e+00,2.651073423952654551e+00,1.902090622986569812e+01,1.187064282753424038e+01
6.666666666666666963e+00,2.542165265284514142e+00,1.880116936632607860e+01,1.168495977026246102e+01
7.500000000000000000e+00,2.423117826724642931e+00,1.867033752898201726e+01,1.155851221541791496e+01
8.333333333333333925e+00,2.356875037155354402e+00,1.852501286928383095e+01,1.143138987127357531e+01
9.166666666666667851e+00,2.278172169453488660e+00,1.843585458852556158e+01,1.135846095884748053e+01
1.000000000000000000e+01,2.237638715957610991e+00,1.835652739390981125e+01,1.130349198129725252e+01
1.083333333333333393e+01,2.207117151023590740e+00,1.827473088755269615e+01,1.124773550923865528e+01
1.166666666666666785e+01,2.178174131470469455e+00,1.825269899734164980e+01,1.121372961353668352e+01
1.250000000000000000e+01,2.114798777385786366e+00,1.818089224843068763e+01,1.117314384018810713e+01
1.333333333333333393e+01,2.119846037258830584e+00,1.816535243653586207e+01,1.113981282391109495e+01
1.416666666666666785e+01,2.103024820928853789e+00,1.812181290318002880e+01,1.111593519319903223e+01
1.500000000000000000e+01,2.090495529736319025e+00,1.811459022027272070e+01,1.109075050867192935e+01
1.583333333333333393e+01,2.067863326919583855e+00,1.810501784784302615e+01,1.108156105757757004e+01
1.666666666666666785e+01,2.049386027354075157e+00,1.806952515802035819e+01,1.108175313502516524e+01
1.750000000000000000e+01,2.042973043786988629e+00,1.807739581934553996e+01,1.105250443353087952e+01
1.833333333333333570e+01,2.044388457591508779e+00,1.805716117798292331e+01,1.104762414130980019e+01
1.916666666666666785e+01,2.044191611170131484e+00,1.806704478703082017e+01,1.104235259156223847e+01
2.000000000000000000e+01,2.026988331896232953e+00,1.803156384815218871e+01,1.103459879716219660e+01
2.083333333333333570e+01,2.018320942382225702e+00,1.804616450218388124e+01,1.103088600512671391e+01
2.166666666666666785e+01,2.024133124149061214e+00,1.804056550199456055e+01,1.101796756775666708e+01
2.250000000000000000e+01,2.027819619471276980e+00,1.802475926102054160e+01,1.105502124852544910e+01
2.333333333333333570e+01,2.010376253648085143e+00,1.802809371364892144e+01,1.099726175502496339e+01
2.416666666666666785e+01,2.018591319145643936e+00,1.802591288724502405e+01,1.100795974060401150e+01
2.500000000000000000e+01,2.007744284551232550e+00,1.800960640092124265e+01,1.100396249900611778e+01
